,Spotify Popularity,Spotify Playlist Count
0,1.0,19
1,2.0,12
2,3.0,11
3,4.0,11
4,5.0,6
5,6.0,12
6,7.0,7
7,8.0,7
8,9.0,4
9,10.0,9
10,11.0,5
11,12.0,7
12,13.0,4
13,14.0,10
14,15.0,3
15,16.0,6
16,17.0,4
17,18.0,6
18,19.0,7
19,20.0,6
20,21.0,9
21,22.0,5
22,23.0,3
23,24.0,5
24,25.0,6
25,26.0,1
26,27.0,7
27,28.0,6
28,29.0,8
29,30.0,8
30,31.0,6
31,32.0,5
32,33.0,6
33,34.0,5
34,35.0,4
35,36.0,9
36,37.0,6
37,38.0,1
38,39.0,8
39,40.0,12
40,41.0,14
41,42.0,10
42,43.0,10
43,44.0,6
44,45.0,16
45,46.0,11
46,47.0,6
47,48.0,14
48,49.0,13
49,50.0,19
50,51.0,22
51,52.0,22
52,53.0,35
53,54.0,43
54,55.0,40
55,56.0,54
56,57.0,55
57,58.0,68
58,59.0,66
59,60.0,84
60,61.0,110
61,62.0,143
62,63.0,138
63,64.0,150
64,65.0,174
65,66.0,170
66,67.0,185
67,68.0,170
68,69.0,155
69,70.0,174
70,71.0,166
71,72.0,146
72,73.0,135
73,74.0,136
74,75.0,104
75,76.0,104
76,77.0,88
77,78.0,85
78,79.0,81
79,80.0,70
80,81.0,35
81,82.0,33
82,83.0,19
83,84.0,23
84,85.0,10
85,86.0,13
86,87.0,14
87,88.0,3
88,89.0,1
89,90.0,3
90,91.0,1
91,92.0,6
92,95.0,1
93,96.0,1
