Spotify Popularity,Spotify Playlist Count
1.0,19
2.0,12
3.0,11
4.0,11
5.0,6
6.0,12
7.0,7
8.0,7
9.0,4
10.0,9
11.0,5
12.0,7
13.0,4
14.0,10
15.0,3
16.0,6
17.0,4
18.0,6
19.0,7
20.0,6
21.0,9
22.0,5
23.0,3
24.0,5
25.0,6
26.0,1
27.0,7
28.0,6
29.0,8
30.0,8
31.0,6
32.0,5
33.0,6
34.0,5
35.0,4
36.0,9
37.0,6
38.0,1
39.0,8
40.0,12
41.0,14
42.0,10
43.0,10
44.0,6
45.0,16
46.0,11
47.0,6
48.0,14
49.0,13
50.0,19
51.0,22
52.0,22
53.0,35
54.0,43
55.0,40
56.0,54
57.0,55
58.0,68
59.0,66
60.0,84
61.0,110
62.0,143
63.0,138
64.0,150
65.0,174
66.0,170
67.0,185
68.0,170
69.0,155
70.0,174
71.0,166
72.0,146
73.0,135
74.0,136
75.0,104
76.0,104
77.0,88
78.0,85
79.0,81
80.0,70
81.0,35
82.0,33
83.0,19
84.0,23
85.0,10
86.0,13
87.0,14
88.0,3
89.0,1
90.0,3
91.0,1
92.0,6
95.0,1
96.0,1
